time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-03T04:42:18.700Z,18.1255,112.11,72,2.14,md,4,316,0.4856,0.2,pr,pr2019034005,2019-02-06T01:17:43.040Z,"67km SE of Punta Cana, Dominican Republic",earthquake,3.04,1.61,0.16,3,reviewed,pr,pr
2019-02-07T07:19:21.590Z,18.5883,112.1315,62,2.77,md,3,216,0.5183,0.25,pr,pr2019038016,2019-02-07T12:18:30.200Z,"56km E of Punta Cana, Dominican Republic",earthquake,6.73,3.29,0.1,3,reviewed,pr,pr
2019-02-06T00:49:11.240Z,19.3021,112.1785,83,3.3,md,4,241,1.4326,0.39,pr,pr2019037003,2019-02-06T07:43:02.463Z,"100km NE of Punta Cana, Dominican Republic",earthquake,6.36,10.44,0.17,3,reviewed,pr,pr
2019-02-05T13:37:17.640Z,19.338,112.2355,72,3.34,md,12,235,0.9953,0.61,pr,pr2019036029,2019-02-05T16:14:26.040Z,"97km NE of Punta Cana, Dominican Republic",earthquake,5.04,10.54,0.18,9,reviewed,pr,pr
2019-02-03T09:46:43.040Z,18.2411,112.3834,86,2.18,md,8,286,0.1986,0.42,pr,pr2019034010,2019-02-03T12:55:04.230Z,"40km WSW of Rincon, Puerto Rico",earthquake,3.75,2.24,0.34,6,reviewed,pr,pr
2019-02-05T15:53:03.440Z,18.2518,112.445,11,2.38,md,4,269,0.1528,0.45,pr,pr2019036037,2019-02-05T18:04:41.638Z,"33km WSW of Rincon, Puerto Rico",earthquake,4.2,5.69,0.15,4,reviewed,pr,pr
2019-02-08T20:59:29.010Z,18.176,112.5097,7,2.5,md,6,248,0.2087,0.16,pr,pr2019039016,2019-02-09T02:18:11.151Z,"30km WSW of Stella, Puerto Rico",earthquake,1.68,1.97,0.21,6,reviewed,pr,pr
2019-02-05T08:51:59.800Z,18.5426,112.5937,16,2.34,md,17,250,0.1741,0.13,pr,pr2019036024,2019-02-05T13:22:13.243Z,"27km NW of Rincon, Puerto Rico",earthquake,0.66,0.57,0.24,16,reviewed,pr,pr
2019-02-05T22:19:20.930Z,18.3331,112.6217,11,2.17,md,4,157,0.1132,0.51,pr,pr2019036042,2019-02-06T00:43:00.975Z,"13km W of Rincon, Puerto Rico",earthquake,3.36,4.22,0.33,3,reviewed,pr,pr
2019-02-10T01:15:25.610Z,18.8256,112.7025,11,2.44,md,5,329,0.4037,0.24,pr,pr2019041001,2019-02-10T04:32:56.434Z,"42km NNW of San Antonio, Puerto Rico",earthquake,2.12,1.23,0.37,5,reviewed,pr,pr
2019-02-08T09:24:08.240Z,18.2583,112.7315,96,2.8,md,6,155,0.2455,0.57,pr,pr2019039011,2019-02-08T15:06:22.299Z,"7km SSW of Stella, Puerto Rico",earthquake,4.29,3.36,0.04,4,reviewed,pr,pr
2019-02-05T07:26:13.430Z,18.43,112.8275,8,2.27,md,8,246,0.0719,0.26,pr,pr2019036013,2019-02-05T11:22:47.245Z,"1km W of Aguadilla, Puerto Rico",earthquake,1.08,1.28,0.21,5,reviewed,pr,pr
2019-02-07T04:30:31.860Z,17.9355,112.8292,14,1.86,md,4,302,0.0937,0.32,pr,pr2019038012,2019-02-07T09:19:47.971Z,"4km SSE of Pole Ojea, Puerto Rico",earthquake,2.52,1.76,0.24,4,reviewed,pr,pr
2019-02-09T04:23:21.060Z,19.2063,112.8322,52,3.05,md,11,230,0.741,0.82,pr,pr2019040002,2019-02-09T22:12:35.040Z,"88km N of Isabela, Puerto Rico",earthquake,6.32,17.91,0.21,8,reviewed,pr,pr
2019-02-07T01:18:34.800Z,17.9675,112.8344,14,2.24,md,13,237,0.0682,0.38,pr,pr2019038000,2019-02-07T01:30:39.228Z,"2km ESE of Pole Ojea, Puerto Rico",earthquake,1.15,1.03,0.37,12,reviewed,pr,pr
2019-02-07T05:44:23.920Z,17.9491,112.8405,12,2,md,4,298,0.076,0.28,pr,pr2019038013,2019-02-07T09:20:02.350Z,"3km SE of Pole Ojea, Puerto Rico",earthquake,2.2,0.85,0.2,4,reviewed,pr,pr
